Field_Group,Year_Level,B1,B1O,B2,B2O,B3,B3O,B4,,,,,,,,,,,,,,
AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 현장 엔지니어(공학자)와의 교류",No Response,기초,,,,,,,,,,,,,,
AI정보공학과,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,"자신의 코드를 하드웨어에 옮겨 움직여 보기, 하드웨어 설계",,,,,,,,,,,,,,
AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,AI인재 장학금,,,,,,,,,,,,,,
AI정보공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,"AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,AI는 아직까진 만능이 아니며 AI의 결과물에 대한 옳고 그름을 스스로 판단할수 있는 역량,,,,,,,,,,,,,,
AI정보공학과,2학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,기초개념,,,,,,,,,,,,,,
AI정보공학과,3학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,AI 도구 활용 방법,No Response,학습,,,,,,,,,,,,,,
AI정보공학과,4학년,정규 교과 내 필수 또는 선택 과목 개설,No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,AI 도구 활용 방법,No Response,비판적 사고,,,,,,,,,,,,,,
AI정보공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,학습 속도를 따라가기 어렵다는 우려,No Response,현장 엔지니어(공학자)와의 교류,No Response,문제 해결,,,,,,,,,,,,,,
AI정보공학과,2학년,평가 부담이 낮은 수업 설계,No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",No Response,없습니다,,,,,,,,,,,,,,
AI정보공학과,4학년,평가 부담이 낮은 수업 설계,No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,다양한 프로그램과 그에 따른 비용감소,,,,,,,,,,,,,,
AI정보공학과,3학년,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,Ai의 기초,,,,,,,,,,,,,,
AI정보공학과,2학년,기초 수준의 단계별 교육 제공,No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,소비자가 아닌 설계자,,,,,,,,,,,,,,
AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,AI활용,,,,,,,,,,,,,,
AI정보공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,No Response,,,,,,,,,,,,,,
AI정보공학과,4학년,"기초 수준의 단계별 교육 제공, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,프롬프트 활용 능력,,,,,,,,,,,,,,
AI정보공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,디지털·AI 학습의 필요성에 대한 확신 부족,No Response,AI 도구 활용 방법,No Response,독서,,,,,,,,,,,,,,
AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,No Response,,,,,,,,,,,,,,
AI정보공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,코딩 및 앱 개발,No Response,더 많은 활동,,,,,,,,,,,,,,
AI정보공학과,2학년,실습 중심의 수업 확대,No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,"AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,활용 방법,,,,,,,,,,,,,,
AI정보공학과,1학년,실습 중심의 수업 확대,No Response,기초 지식이나 사전 경험의 부족,No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,사례,,,,,,,,,,,,,,
AI정보공학과,3학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,No Response,,,,,,,,,,,,,,
AI정보공학과,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,실무에서 사용할수있는 능력,,,,,,,,,,,,,,
AI정보공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",ai툴 사용을 위한 비용,기타,등급 평가로 인한 성적 스트레스,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류, 기타",대학교 수준의 전문적이고 현업에서 사용하는 기술에 대한 교육,"전문성있는 교육, 다양한 ai툴 사용을 위한 구독 비용이나 혜택, 공모전 개최등",,,,,,,,,,,,,,
AI정보공학과,2학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,"디지털·AI의 기초 개념과 작동 원리, 현장 엔지니어(공학자)와의 교류",No Response,과제 중심 평가의 꾸준한 실습,,,,,,,,,,,,,,
AI정보공학과,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,학습 속도를 따라가기 어렵다는 우려,No Response,"코딩 및 앱 개발, 현장 엔지니어(공학자)와의 교류",No Response,기술 변화 속도가 빠른 만큼 특정 기술보다도 스스로 학습하고 적응하는 능력을 키워주는 교육이 중요하다고 생각합니다.,,,,,,,,,,,,,,
AI정보공학과,4학년,정규 교과 내 필수 또는 선택 과목 개설,No Response,학습 속도를 따라가기 어렵다는 우려,No Response,현장 엔지니어(공학자)와의 교류,No Response,강의,,,,,,,,,,,,,,
AI정보공학과,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,No Response,,,,,,,,,,,,,,
AI정보공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 기타",AI를 활용한 톱다운 형식의 학습이 필요하다고 생각합니다.,기타,"AI로 대체되기 가장 쉬운 단순한 주입식 교육이 아니라, 깊이 있는 이해를 도울 수 있고 효율적으로 공부가 가능하게끔 AI를 수업 전방위에 걸쳐 적극적으로 활용할 수 있도록 도와야 합니다. ","코딩 및 앱 개발, AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,"응용력 및 환각을 구별할 수 있는 능력, 그리고 깊이 있는 사고를 유도하는 능력을 기르는 것이 중요합니다. 나머지 능력들은 그 중요성이 점차 낮아질 것입니다. 또한, 복잡한 시스템을 가장 기초적인 단계로 쪼개는 연습을 많이 하도록 교수진들이 유도해야 합니다. 교수진들이 하나부터 열까지 가르치는 교육이 아닌, AI를 전방위에 걸쳐 활용하되 교수진들이 중심을 잡아 학생들을 올바른 길로 유도하는 방향이 가장 바람직하다고 봅니다. AI를 활용하되 환각현상이 발생했을 경우 교수진들이 올바른 피드백을 하는 방향으로 바뀌지 않으면, 대학 교육은 의미가 없을 것입니다. ",,,,,,,,,,,,,,
AI정보공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설",No Response,기초 지식이나 사전 경험의 부족,No Response,현장 엔지니어(공학자)와의 교류,No Response,지식,,,,,,,,,,,,,,
AI정보공학과,3학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"학습 속도를 따라가기 어렵다는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용",No Response,No Response,,,,,,,,,,,,,,
AI정보공학과,1학년,전공 및 교과와 연계된 활용 사례 제시,No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,수업 설계 및 교육적 활용 방법,No Response,평생학습,,,,,,,,,,,,,,
AI정보공학과,4학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, AI 윤리 및 책임 있는 활용",No Response,No Response,,,,,,,,,,,,AI 툴 일부 지원,"예, 가능합니다.",김희수 01092364047
AI정보공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,학습 속도를 따라가기 어렵다는 우려,No Response,코딩 및 앱 개발,No Response,No Response,,,,,,,,,,,,네,"아니요, 불가능합니다.",
고분자공학과,4학년,실습 중심의 수업 확대,No Response,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,No Response,AI 도구 활용 방법,No Response, AI의 활용,,,,,,,,,,,,,,
기계공학부,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",No Response,AI 활용법,,,,,,,,,,,,,,
기계공학부,4학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",No Response,"일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,현장 엔지니어(공학자)와의 교류,No Response,현장에서의 교류,,,,,,,,,,,,,,
기계공학부,대학원생,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"AI 도구 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,사용하는 방법 및 툴의 기초지식,,,,,,,,,,,,,,
기계공학부,4학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 일자리와 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 엔지니어(공학자)와의 교류",No Response,AI 관련 직무 경험,,,,,,,,,,,,,,
기계공학부,3학년,"전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설",No Response,기초 지식이나 사전 경험의 부족,No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,딥러닝,,,,,,,,,,,,,,
소프트웨어공학과,1학년,실습 중심의 수업 확대,No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,코딩 및 앱 개발,No Response,No Response,,,,,,,,,,,,,,
소프트웨어공학과,2학년,기타,No Response,기타,No Response,코딩 및 앱 개발,No Response,접근성 완화,,,,,,,,,,,,,,
소프트웨어공학과,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움",No Response,"수업 설계 및 교육적 활용 방법, 현장 엔지니어(공학자)와의 교류",No Response,교차검증,,,,,,,,,,,,,,
제어로봇공학과,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발",No Response,체험,,,,,,,,,,,,,,
제어로봇공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,기초 지식이나 사전 경험의 부족,No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",No Response,AI를 효율적으로 사용할 수 있는 방법이나 연계되어 직업으로 까지 적용할 수 있는 방향성 이라고 생각합니다,,,,,,,,,,,,,,
제어로봇공학과,2학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",No Response,기초,,,,,,,,,,,,,,
제어로봇공학과,3학년,"기초 수준의 단계별 교육 제공, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",No Response,"기본지식, 심화학습",,,,,,,,,,,,,,
제어로봇공학과,4학년,"기초 수준의 단계별 교육 제공, 정규 교과 내 필수 또는 선택 과목 개설",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발",No Response,c언어의 기초,,,,,,,,,,,,,,
제어로봇공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, AI 도구 활용 방법",No Response,인공지능 ,,,,,,,,,,,,,,
제어로봇공학과,3학년,평가 부담이 낮은 수업 설계,No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 일자리와 직접 관련되지 않는 수업이라는 우려",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,인턴쉽 기회 증가,,,,,,,,,,,,,,
제어로봇공학과,2학년,평가 부담이 낮은 수업 설계,No Response,"기초 지식이나 사전 경험의 부족, 학습 속도를 따라가기 어렵다는 우려",No Response,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",No Response,Ai툴 무료제공,,,,,,,,,,,,,,
제어로봇공학과,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",No Response,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",No Response,"코딩 및 앱 개발, 수업 설계 및 교육적 활용 방법",No Response,유료버전 이용 혜택,,,,,,,,,,,,,,
제어로봇공학과,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",No Response,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 디지털·AI 학습의 필요성에 대한 확신 부족",No Response,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",No Response,기초,,,,,,,,,,,,,,
제어로봇공학과,3학년,전공 및 교과와 연계된 활용 사례 제시,No Response,일자리와 직접 관련되지 않는 수업이라는 우려,No Response,AI 윤리 및 책임 있는 활용,No Response,전공 확대,,,,,,,,,,,,,,
