Academic_Field,Year_Level,Year_Original,E1,E2,E3,E4
미술교육과,2학년,2학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 디지털·AI 학습의 필요성에 대한 확신 부족","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발",윤리 및 책임 있는 활동
미술교육과,3학년,3학년,전공 및 교과와 연계된 활용 사례 제시,"임용과 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족",수업 설계 및 교육적 활용 방법,디지털 윤리
미술교육과,2학년,2학년,"기초 수준의 단계별 교육 제공, 평가 부담이 낮은 수업 설계",기초 지식이나 사전 경험의 부족,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",AI 작동원리를 이해해야 질문을 잘할 수 있다고 생각한다.
미술교육과,4학년,4학년,정규 교과 내 필수 또는 선택 과목 개설,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",AI 도구의 활용방법과 그와 관련된 기본 지식입니다
미술교육과,4학년,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 교사와의 교류",디지털•AI 경험 증진
미술교육과,2학년,2학년,전공 및 교과와 연계된 활용 사례 제시,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",AI도구를 활용하기 위한 전문적 지식
미술교육과,2학년,2학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법","창의성,저작권"
미술교육과,3학년,3학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용, 현장 교사와의 교류","윤리, 사용 방법과 책임, 부작용"
미술교육과,4학년,4학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계",전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류",생활
미술교육과 ,1학년,1학년,기초 수준의 단계별 교육 제공,기초 지식이나 사전 경험의 부족,디지털·AI의 기초 개념과 작동 원리,기초 개념
미술교육과,4학년,4학년,"기초 수준의 단계별 교육 제공, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용",AI윤리 및 책임있는 활용방법 입니다. 학생들도 이미 다양하게 AI를 사용하고 있기 때문입니다. 
미술교육과,1학년,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대","기초 지식이나 사전 경험의 부족, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",AI 제공
체육교육과,졸업생,졸업생 (임용준비중),전공 및 교과와 연계된 활용 사례 제시,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,AI 도구 활용 방법,기술적 원리와 이해
생물교육과,2학년,2학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","코딩 및 앱 개발, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류","AI프로그램 무상 제공, AI관련 수업 학점 부담 아에 없이 PASS, UNPASS로 수업 개설"
수학교육과,2학년,2학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",올바른 사용법
수학교육과,4학년,4학년,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법","창의성 강화, 디지털 활용능력"
수학교육과,4학년,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",임용과 직접 관련되지 않는 수업이라는 우려,"디지털·AI의 기초 개념과 작동 원리, 수업 설계 및 교육적 활용 방법",AI
수학교육과,졸업생,졸업생 (현장교사),"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","학습 속도를 따라가기 어렵다는 우려, 임용과 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발",문해력
수학교육과,3학년,3학년,기초 수준의 단계별 교육 제공,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,디지털·AI의 기초 개념과 작동 원리,어떻게 내가 원하는 답변을 도출 할 수 있는가
수학교육과,3학년,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려",AI 도구 활용 방법,AI 기본 활용 방법
수학교육과,2학년,2학년,기초 수준의 단계별 교육 제공,기초 지식이나 사전 경험의 부족,수업 설계 및 교육적 활용 방법,기초
수학교육과,1학년,1학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",AI 기초 개념 원리 확립
수학교육과,졸업생,졸업생 (현장교사),전공 및 교과와 연계된 활용 사례 제시,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,코딩 및 앱 개발,개인정보
수학교육과,3학년,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",전공과의 연결성
수학교육과,4학년,4학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시",전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"디지털·AI의 기초 개념과 작동 원리, 수업 설계 및 교육적 활용 방법",무지성 적용 금지
수학교육과,4학년,4학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",임용과 직접 관련되지 않는 수업이라는 우려,코딩 및 앱 개발,문해력
수학교육과,2학년,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",접근성
수학교육과,3학년,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 임용과 직접 관련되지 않는 수업이라는 우려, 디지털·AI 학습의 필요성에 대한 확신 부족","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용","인공지능 소양의 중요성, AI 리터러시, 현장 변화 양상, 예시"
수학교육과,1학년,1학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","수업 설계 및 교육적 활용 방법, 현장 교사와의 교류",AI에 대한 기초 수준의 학습
수학교육과,졸업생,졸업생 (현장교사),"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",임용과 직접 관련되지 않는 수업이라는 우려,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류","코딩과 같은 전통적인 것을 익히는것에서 chatgpt, 제미나이 등의 활용배우기, 실무에 적합한 구글 앱, 엑셀등의 기능을 익히는것"
수학교육과,2학년,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 임용과 직접 관련되지 않는 수업이라는 우려","코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",다양한 강의 제공
수학교육과,3학년,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",AI 올바르게 사용하기
수학교육과,2학년,2학년,기초 수준의 단계별 교육 제공,학습 속도를 따라가기 어렵다는 우려,AI 도구 활용 방법,프롬포트작성법
수학교육과,2학년,2학년,"기초 수준의 단계별 교육 제공, 정규 교과 내 필수 또는 선택 과목 개설","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 현장 교사와의 교류",기본 활용법
수학교육과,2학년,2학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 디지털·AI 학습의 필요성에 대한 확신 부족","코딩 및 앱 개발, AI 도구 활용 방법, 현장 교사와의 교류",실습
수학교육과,1학년,1학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용",다양한 접근
수학교육과,2학년,2학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계","학습 속도를 따라가기 어렵다는 우려, 임용과 직접 관련되지 않는 수업이라는 우려","수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용",응용
수학교육과,3학년,3학년,실습 중심의 수업 확대,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,AI 도구 활용 방법,직접적인 활용법
수학교육과,4학년,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법",실습 중심의 수업
수학교육과,1학년,1학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",교양과목 개설
수학교육과,2학년,2학년,실습 중심의 수업 확대,전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,AI 도구 활용 방법,No Response
수학교육과,4학년,4학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",기초 지식이나 사전 경험의 부족,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",참여 기회 확대
수학교육과,2학년,2학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",수업시간에 자연스럽게 활용
수학교육과,2학년,2학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류","과목별로 AI가 어떻게 쓰이는지, 어떤 종류의 AI가 있는지"
수학교육과,졸업생,졸업생 (현장교사),"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",임용과 직접 관련되지 않는 수업이라는 우려,"디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",AI의 개념 및 원리
수학교육과,3학년,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류","경험, 다양성"
수학교육과,1학년,1학년,"평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 디지털·AI 학습의 필요성에 대한 확신 부족",AI 도구 활용 방법,수업개강
수학교육과 ,졸업생,졸업생 (현장교사),"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","코딩 및 앱 개발, 수업 설계 및 교육적 활용 방법",다양한 AI 코드 작성 활용 방안
역사교육과,2학년,2학년,"기초 수준의 단계별 교육 제공, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류","부담감 완화, 편안"
역사교육과,1학년,1학년,"실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",무조건적인 AI사용은 옳지않다는 것을 가장 먼저 가르쳐야 한다고 생각함
역사교육과,3학년,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용",실습
영어교육과,4학년,4학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법","윤리 및 비판적 수용 능력에 대한 요소, 실제 기술 활용 역량"
영어교육과,1학년,1학년,실습 중심의 수업 확대,기초 지식이나 사전 경험의 부족,수업 설계 및 교육적 활용 방법,AI학습 강의
영어교육과,2학년,2학년,"전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",필요성
영어교육과,4학년,4학년,"평가 부담이 낮은 수업 설계, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","코딩 및 앱 개발, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",AI 활용 사례를 경험하고 자신의 진로에 직접 적용시키는 활동
영어교육과,2학년,2학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시, 정규 교과 내 필수 또는 선택 과목 개설","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","디지털·AI의 기초 개념과 작동 원리, 코딩 및 앱 개발, AI 도구 활용 방법",기초강화방법
영어교육과,4학년,4학년,전공 및 교과와 연계된 활용 사례 제시,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",실제 활용 가능성
영어교육과,3학년,3학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",낮은 평가부담과 기초적 수준부터의 단계적 수업
영어교육과,4학년,4학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시",디지털·AI 학습의 필요성에 대한 확신 부족,"디지털·AI의 기초 개념과 작동 원리, AI 윤리 및 책임 있는 활용",AI 윤리
영어교육과,4학년,4학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류",실용성
영어교육과,1학년,1학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",자기주도적 학습
영어교육과,2학년,2학년,정규 교과 내 필수 또는 선택 과목 개설,기초 지식이나 사전 경험의 부족,디지털·AI의 기초 개념과 작동 원리,이론적인 교육보다 실용적인 교육을 실시해야 한다고 생각합니다
영어교육과,1학년,1학년,"기초 수준의 단계별 교육 제공, 전공 및 교과와 연계된 활용 사례 제시, 평가 부담이 낮은 수업 설계","기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려, 임용과 직접 관련되지 않는 수업이라는 우려","디지털·AI의 기초 개념과 작동 원리, 수업 설계 및 교육적 활용 방법, 현장 교사와의 교류",기초적인 활용 방안
영어교육과,2학년,2학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 평가 부담이 낮은 수업 설계",전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",수준별 맞춤 학습
영어교육과,2학년,2학년,전공 및 교과와 연계된 활용 사례 제시,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움","코딩 및 앱 개발, AI 도구 활용 방법","사고력, 판단역"
영어교육과,2학년,2학년,전공 및 교과와 연계된 활용 사례 제시,"전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",비판적 사고 영역
영어교육과,1학년,1학년,평가 부담이 낮은 수업 설계,"기초 지식이나 사전 경험의 부족, 전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 학습 속도를 따라가기 어렵다는 우려",수업 설계 및 교육적 활용 방법,디지털 윤리
영어교육과,2학년,2학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 디지털·AI 학습의 필요성에 대한 확신 부족","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",기본적인 문해력
영어교육과,2학년,2학년,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법","비판적 사고, 디지털 시민성"
영어교육과,1학년,1학년,"실습 중심의 수업 확대, 정규 교과 내 필수 또는 선택 과목 개설","전문 용어나 기술적 내용(예: 코딩)에 대한 두려움, 임용과 직접 관련되지 않는 수업이라는 우려","AI 도구 활용 방법, 현장 교사와의 교류",디지털 도구를 활용한 교수 방법
영어교육과,3학년,3학년,"실습 중심의 수업 확대, 전공 및 교과와 연계된 활용 사례 제시",전문 용어나 기술적 내용(예: 코딩)에 대한 두려움,"코딩 및 앱 개발, 수업 설계 및 교육적 활용 방법, AI 윤리 및 책임 있는 활용","요즘은 챗지피티, 제미나이 등 생성형 AI를 사용하지 않는 대학생을 찾아보기 어려울 정도로 사용자가 많습니다. 저도 매일 생성형 AI를 학습 도우미로서 이용하고 있습니다. 이 생성형 AI를 어떻게 이용하면, 어떤 프롬프트를 입력해야 보다 효율적인 답변을 얻을 수 있는지에 대한 메뉴얼을 제공하면 좋을 것 같습니다.
또한 AI 사용에 대한 문제 인지가 중요하다고 생각합니다. AI 사용에 뒤따르는 윤리, 책임, 환경, 저작권 등에 경각심을 지녀야 한다고 생각합니다."
영어교육과,3학년,3학년,"기초 수준의 단계별 교육 제공, 실습 중심의 수업 확대",어려움을 느끼지 않음,"AI 도구 활용 방법, 수업 설계 및 교육적 활용 방법",No Response
